title,review
THIS IS MY NEW FAVORITE SHOW!,"I wasn't going to write a review but, after seeing all the negative reviews, I felt compelled to. This show is a slow burn thriller. You have to stick around to watch the story and characters develop. I promise, it's worth it! This show is addictive! So much going on. One review mentioned it was okay until the end. Well, ""the end"" isn't the end. It will continue with season 2. We still don't know exactly what's going on, and that's part of what makes it so great! The casting is perfect. The story and acting are outstanding. And the soundtrack is awesome!"
"Mystery, drama, horror, thriller.","For season one;
The Yellowjackets are a highschool all girl soccer team. They enter a national competition and their plane crashes in the middle of some woods on route, miles away from any of civilization.The general premise might sound familiar but the storytelling, the building of each character and a mystery person separates this story from any similar stories. All of which contributes towards the slowly unraveling of what exactly happened during the nineteen months the group were stranded and the present day when a stranger is blackmailing the victims to keep their deepest, darkest secrets from becoming public. What did happen is slowly revealed, what might have happened is hinted and what could happen is yet to be seen.Now at the end of season one, some flaws might get addressed in the next season but, as it stands now, this could have been wrapped up in ten episodes with a tight score of 10/10. Still impressive when considering the duration of each episode is fifty minutes. I also hope that this series remains unspoiled by too much situational scenarios, that which often ruins many TV shows by prolonging a good storytelling in exchange for longevity.Edit: no other seasons of Yellowjackets were viewed, since by the end of season one there were enough to infer the general gist of the story without a dramatic end, and the end of season one had concluded enough for me to be satisfied with only enjoying one season."
[6.7] Mean and thin,"What is Yellowjackets (2021-)?! A semi-interesting to direct-horrible series with talented all-around actresses, some brighter than the others (Jackie, young Shauna...), very good acting, stupid supernatural/mystical atmosphere, as much suspense in it as swans in a lake and so much jumping back and forth between past and present that you better watch it on an empty stomach.Nevertheless, it has qualities (wilderness, summer and winter depiction, magic foods!, ...), some crazy score and so much damaged characters (young and middle-aged alike) in it that it will drag you to its season 2 whether you like it or not.Welcome to its fan club!"
Yellowjackets,"Directing and acting are really great. Music and sound is good as well. I can see why people like the show but I think it's not working for me. Honestly I've been let down by this after seeing a bunch of hype about it. I just don't see it, the major fault of this show is the pacing, it's...so...slow. And not in a good contemplative way, but scenes of dialog that make you want to fall asleep. I'm sorry but none of the characters here are interesting nor do you want to care about them. The only parts that are actually interesting are the ones after the crash. Aside from that, I was expecting more horror and it's about 1% horror 99% mediocre drama. That's nothing to say about the acting though as that was good overall. Nitpick though but the so called ''ugly'' girl in this show is absolutely not ugly, but the show tries really hard and it simply does not work, all the scenes feel fake. I barely got through and decided not to waste my time. This would've been an interesting movie. As a show, it fails to keep my attention sadly."
Learning to love and grow,"The girl's soccer team learns lessons in team support and being kind to each other after experiencing an unfortunate plane accident in the Canadian wilderness. What ensues is a coming of age story about finding satisfaction and hope in difficult circumstances. The girls are the best of friends and because their bonds are so strong, they all support each other during this difficult time.Overall an uplifting story of perseverance and team support that will leave you feeling good about supporting your local soccer team."
Wait for it,"Watch the preview for episode 9 if you don't understand Adam's attraction to Shauna. I didn't used to like the two story line idea (going back and forth in time), but you have to PAY ATTENTION. It's really a great story and I love Juillette Lewis and never really liked Christina Ricci, but Misty is fascinating! Showtime is doing some really good stuff. Wakefield was amazing and the return of Dexter is so satisfying."
Strong writing + acting keeps this one going,"I'll preface by saying, this one gets its hooks in you right away with no punches pulled.It settled in nicely and now you/we get just enough of the breadcrumbs to keep a subtle amount of ambiguity and the red herring aliveWhat sets it apart, as Showtime certainly could use their first well written series (not since the first few seasons of Dexter, and maybe season one of Ray Donovan) in some time. I personally look so forward to watching this script unpacking itself--- and so far, delivering. Season 2 is off to a great start with the continuation of the Travis sub-storyline, and the shift to the cult situation and backstory that is developing slowly while leaving an impression that all may not be as the viewer is led to believe without the lazy and insulting bait and switch.Delivers on every level."
One of the best shows I've ever seen,I have watched A LOT of shows. And I can honestly say this is one of the best series I've ever watched. I was hooked immediately from the first episode and now on episode 8 I am still just as enthralled as I was at the beginning. All the reviews saying otherwise obviously havnt watched through. It's not even completed and I NEED a second season.
Season 2 was a mess,"I started watching because of the good reviews and I was pleased because season one was incredible. Acting, writing, script, everything was perfect. I loved the mixture of genres from coming of age to horror but there was a HUGE downfall from that for season 2. The writing makes no sense and the ending was very disappointing. Natalie's dead is so stupid and the characters grow absolutely nothing from season one. We don't know anything about Taissa's dark past and Van's cancer appeared out of nowhere. If it gets renewed they really need to go back to that good writing they had on the first installment."
Keeps you hooked,I will echo with another reviewer said here.. it keeps stringing you long.. it's definitely interesting and you keep watching to see what happens next..but there are a lot of major plot points that have been dropped here and there without a lot of details about where those bits are taking you as the viewer..I will say the haunting background music/vocal chants etc. Are really unique to this series and set a great atmosphere..I'll be looking forward to Season 2..
It could have been so good,"I loved the first half of season 1, I mean I hated their older counter parts but I loved their characters as teenagers. I thought the survival was super interesting and that is was based in the 90s. All of the main girls were for the most part likeable. When it shows their older selves non of them acted how they did when they were young. I hated all of them. I didn't care about her husband cheating on her or Nats drug habits or Tais political campaign. Not what I was watching the show for. Then the magical cult aspect came in to play about the last 3 episodes and it just got sillier and sillier. I no longer cared if any of the girls survived. They all sucked anyways and they suck as adults. I wish they had only had the girls as teenagers. Non of the adult boring stuff. And if they were gonna make one of the girls into a cult leader I wish it wasn't because of the magical forest. And why did Jackie just freeze to death outside, such a lame end. So disappointing, I was so excited when I watched the first episode."
"The music alone, pulled me in - then the storyline & acting hooked me!","Christina Ricci & Juliette Lewis - do I need to say anything else? They are, as always, absolutely phenomenal actresses and are nothing short of captivating in this show. Next is the music, which is the soundtrack to my high school and college years. Then there's the storyline, which sucked me in from the first episode. It's a great combination of suspense, drama and intrigue, and at the end of each episode I'm wondering how an hour went by so quickly, and I'm already anticipating the next episode. It's a great show and I'm hoping there's going to be a second season. Lastly, I would be remiss if I didn't mention that the young actresses hold their own against the seasoned actresses and they do a fantastic job emulating the adults version of the characters they're playing. Everything about this show is awesome. So much so, that I've been recommending it to everyone who will listen. This show is a definite must watch."
Strong opening but then tapered off.,"(Reviewed after the end of season one).Enjoyed this but it did not live up to the writing and promise of the first couple of episodes. The opening had well written characters and scenes but as the season went on things became a bit silly, less believable and more muddled.As a whole it felt drawn out to the point that at the end of ten episodes we have not got to the flash forward we see in the opening episode. To me this was disappointing and from the middle of the season the whole things dragged, it didn't really have much of an ending either.I would watch a second season but I hope it has more of a story arc or at least a better pace than how things are at this point."
Great start....and then.,I had to update my review. Initially it started great. Loved the nostalgia and the soundtrack. Then it just got weirder and weirder. It's honestly like the series lost meets the movie Alive but in the Canadian mountains. Characters that were not on the plane all of a sudden appear like the audience isn't going to notice. Maybe it's intentional but it's not like they did any introduction. I just feel like the second season is just too far out. I feel like there is a lot of filler episodes.
WOW,"This show had me more tense, episode to episode, than anything I've seen in a while. Creepy, fun, haunting, traumatic and mysterious. I think Showtime has something great on their hands with this and hope it consistently gets better with each season. The soundtrack is awesome and the cast is all stellar!"
Underrated,Such a fantastic show from the very first episode. Only half way through the first season but OMG it is highly bingeable (if that is a word).Two thumbs up and 10 stars!!
Something new,I like the new and innovative idea. It started of a bit silly but after the second episode it all came together. I love the anticipation of what happens next. The fact that you cant figure out the whole plot within seconds keeps you binge watching. Hope they wont drag out the ending for 16 seasons. We already had our share of Lost.
Great series,I hope the show casts someone like Sydney Penny as the older Lottie Matthews. Decent actress and she looks just like her.Binge watched the first season in under a week. Best show I've seen since Westworld.
Good but not great..,"Wondering why people leave 'reviews' when the season isn't complete?Would you bother leaving a review 20 minutes into a movie, I assume these people do?Sadly leaving a 10 assuming the entire season will be like the first episode, these are the same people demanding a second season after that same episode!!"
Pleasantly Surprised,"This show has been a wonderful find. It gives off HBO's The Leftovers vibes which is exactly the kind of content I eat up.I honestly wish I discovered this show at the end if it's run because now I have to wait for it to come back. That said, I'm looking forward towards future consumption."
Watchable but not great,"Why did they have to go into an exorcism and possession? The character development could have been enough, the story could have been enough but once you start introducing spirits and demonic possessions, as they did in the latest episode, it becomes a turn off. Though, i will watch to the end as you simply have invested so much time into it by then."
Wow.. It's been a while.,"Incredible show. The soundtrack, actor lineup, story telling, everything..is so damn good. It has been a long time since since a show got me so hooked. It has laughs, suspense, drama, mystery, and some of the most graphic scenes I've ever seen in a show. It's been said before in many reviews but it really does feel like the female version of lord of the flies in some ways. Don't miss this one. Eagerly awaiting season 2!"
Very GOOD show,"I loved season 1 . I liked how the show plays both from the perspective of them as kids experiencing the trauma / showing them when they're all grown up . I think this is pretty unique and haven't really seen other shows do it like this .I think what really stood out to me in this series is the eeriness that was portrayed throughout the show . It definitely has a horror element to the show and you can't quite put your finger on it and I love it . Even when you get to the end , much is revealed, but you still don't quite know what to make of it . I am expecting for lots of questions to be answered in season 2 .Definitely a plus for Yellowjacket's . It's very addictive and have been waiting for over a year for the new season to air this month ! Season 2 can't get here soon enough !"
First season it's just the beginning,Starts amazingly. Then sometimes it may get a little slow. But every episode has its jaw-opener. The end it's painful and raw. I'm a fan. Let the theories begin.
The 10s and 9s are not reaI,"So disappointed watching this utter tripe.Really disgusted.Also the music choices are wrong and several songs outdated by 1996.The present day actresses young counterparts LOOK nothing like them.Totally different looking faces/eye/hair color/ AND personalities.Just a nasty and depressive show.Could have been good as a black dark comedy, but isntead just depressing."
a well done survival drama,"A wildly talented high school girls' soccer team becomes the (un)lucky survivors of a plane crash deep in the Canadian wilderness.From beginning to end I was completely enthralled by Showtimes survival drama, Yellowjackets. For the 90s flashbacks, it's clear that the series draws heavy inspiration from William Golding's classic, ""Lord of the Flies"", but with a modern feminine twist to it. While the present is a masterful character study on survivors' guilt and the midlife crisis. Both of these stories perfectly balance and complement one another. The writing is witty and each character is given an insane amount of depth and characterization. Yellowjackets also hold no punches back when it comes to the series gore. The series opens up with one of the girls being hunted and bled like a pig to be prepared for a cannibalistic feast. Talk about a messed-up opening.With the series' enthralling storying, you must also have some fantastic acting involved as well, in this case, some Emmy-nominated acting. Melanie Lynskey proves yet again that she is one of the most underrated actresses in Hollywood with her captivating performance. She masterfully portrays women having a mid-life crisis, but with some horrifying undertones. She definitely earned her Emmy nomination. Her younger counterpart, played by Sophie Nelisse also does a fantastic job. Nelisse's acting never tries to impersonate Lynskey, but you can clearly tell they are the same person. Ella Purnell and Juliette Lewis are also two big standouts in the series. My favorite performance easily has to be from Christina Ricci. She earned her Emmy nomination by playing someone who is harmless at first but is a sociopath under her unsettling smile. Overall, this series does a fantastic job with its acting.The series is hauntingly beautiful. They masterfully create an unsettling atmosphere with their camera work. Furthermore, the series uses atmospheric female whispers for the score further adds to the series' unsettling nature. With half of this series taking place in the mid-90s, it has a great soundtrack filled with female rockers of the 90s. My only real problem with this series is that some of the VFX look really rough at points. Secondly, some of the survival decisions and situations they make are unrealistic. For example, one character gets mauled by a wolf in the flashback and she comes out relatively unscathed. Obviously, she is deformed but there is no infection or anything like that present. Given how it also takes her over 24 hours to get some form of medical attention, I am surprised that no infection had begun. Other than that, I greatly enjoyed this series, and it's definitely the most underrated of this year's Emmy nominations. I highly recommend it to all. (First two episodes are free on YouTube).I am giving Yellowjackets (Season 1), an A-."
Intriguing Thriller with amazing Performances,"One of the best mystery thrillers on tv. Story is intriguing and the performances are amazing. So good to see Melanie lynskey getting her well desesrved leading lady recognition. Been waiting for this type of content. A must watch if you love gore, mystery and great performances."
Get on this crazy train!,What I love most about this show is also what drives me crazy. In real time we're watching everyone trying to get out from under the blackmail and left wondering what on earth they did so horrible to be blackmailed for. In the flashbacks we see their time in the wilderness progress and unfold into what I'm assuming is some horrible event or events. Two unfolding plots at once that are hopefully going to collide in the next two episodes!
"Started like Lost Season 1, ended like Lost Season 6","Started of so well, there was mystery, suspense, drama, romance, friendship. And then in 2022, it just turned into a teenage drama. The storyline completely changed to idiotic things. Just a waste of what could have been a great series."
CAPTIVATING!,Gotta check out the Reddit page for this show. Absolutely insane. Been years since there was a community like this built around the show and it's only destined to grow. Phenomenal writing and even better acting.
Lord of the Flies meets Lost meets Fear Street,It is original in its merging of genres. It is intriguing and presents a lot of promise. I think many people on seeing the subject matter and watching the trailer will want to watch this and want it to be good. Ultimately though you complete the season and realise it never really amounted to much. Not a lot really happens at the end of the day. Difficult to turn off but ultimately not that great. Not a complete waste of time but I think most will be rather disappointed because it looks like it has so much promise but never really delivers.
Finally a crack in its facade,"I was surprised that not only did Jeff think it was a good idea while under surveillance to call and tell about the police finding the body. Even stupider than that was that not only was the cop that had just been accused of stagitory rape on the raid on the raid of the house of his accuser BUT... was also left alone with the under age accuser in her room.. they really thought about that one. Can't help but wonder how much of that intricate writing has to do with the writes strike. 🤔 😆
It's an excellent show definitely worth the watch and maybe even watch twice I always realize new and understand deeper on the 2nd go around."
Ridiculous.,"This show is loaded with plot holes, totally unrealistic, and sometimes flat out illogical. I'm only watching it because of my family and friends.First of all, there is no way a plane load full of a high school female soccer team would go down, and nobody would come looking for them. Even though the one girl destroyed the black box, they had radar back in the 80s and 90s. They could track on radar where the plane went down. That would give them a starting point. But it's been months and we haven't seen one search party, plane or helicopter. These girls are building fires with smoke rising. They would have been rescued within one week. And what about all the parents? They just said, ""Oh well, our daughter's plane went down. I hope she's okay. What's for dinner?"" They would have been pressuring the authorities to keep looking.And wolves are not going to attack a group of 5 teenagers sitting around a campfire. They may circle the camp site trying to steal food. But they won't just dive in and attack. How many cowboys and pioneers slept around a campfire in groups as small as one and two people. No wolves were attacking them.And why was the stream or river red with blood?I have forgotten more plot holes than I can remember. I just stopped keeping track. It's just too ridiculous.But I've always loved Melanie Lynskey in everything I've seen her in. And who doesn't like Christina Ricci?I don't know what has been more fun. Pointing out all the plot holes, laughing about it being so unrealistic and illogical. Or trying to follow the ridiculous plot.My rating is for entertainment. Not for all the plot holes, unrealism or illogic. Now they are getting into the supernatural. Oh my goodness . . . Geez."
Truly preposterous with unlikable characters.,"Binged this in a few days at the insistence of my girlfriend as we weathered out a storm. Honestly would have preferred to be stranded in the wilderness, as far away from a TV set and this absolute disaster of a show as humanely possible.Where to begin? I don't know - I want to complain about every single choice / whether it be a horribly written line of dialogue, terribly framed shot, uninspired acting choice - you name it, it sucked.No mystery, no suspense, not a single character to root for or even remotely care about, and worst of all, toward the end of the season, the main characters end up committing a crime so heinous any shred of likability is completely gone and they all just become psychotic, horrible people.Not only that - it truly feels episode to episode is written by different writers who are not consulting with each other as to where the story is even going. Perfect example - at the end of a later episode a character dies in a terrible explosion, thirty minutes into the next episode not a single character has even mentioned this and no one seems to care.Melanie Lynsky is totally unbelievable as the housewife having a steamy, sexy affair. It's honestly embarrassing and makes you uncomfortable. Even the way she kisses is tight and awkward and there is zero chemistry. Juliette lewis is overacting so hard you can almost see her constantly thinking of ways to unnaturally contort her body and face and to be more tic filled. A grating performance to say the least. The teen actors are honestly all terrible. Not a single line of dialogue uttered by any of them feels real or has a shred of the stakes at hand. Especially the Travis actor - what a wet blanket. And for some reason all the ladies wanna sleep with him?The only redeeming quality of this show is Ricci - and even then - I have no idea what the hell her character is even doing.I can't wait for them all to just go ahead and eat each other. It will end the insufferable, inane dialogue you have to attempt to stay awake through.It is a travesty that this gets another season and countless others never even see the light of day."
fantastic pilot episode,"The show has solid cinematography, acting and so far writing. The opening had me hooked but it would take nearly the entire episode to fully wrap back around to a similar scene.Melanie Lynskey is great, as always, the music is well placed my only issue was the amount of sex in the first episode alone, I'm not prude but a few of the instances were highly gratuitous, with only one possibly being plot related.The dynamic between the younger cast is solid, and there were many tense moments in the episode, while the plot unfolded naturally.I will definitely be checking out the next episode to see if it can continue to remain this quality, if so then it's gonna be a good season :)if you're debating checking it out, I recommend you do, I also didn't think this held interest to me but it surprised me in a great way!"
Unanswered questions,Got to the last episode and had more unanswered questions than answered. How'd they get back? What happened with the pregnancy? What's going on with Travis?!
Love it,Its a bit of a slow burn but it picks up steam. Sit back and enjoy. Its excellent! Not sure why all the hate. Hoping there is another season. Really like the mystery element.
Don't miss this one,"A highly engaging and enjoyable series, each episode gets better than the last as you learn more about the characters.I found this show by accident, so glad I did as every episode is so good.Don't miss this one...."
Left with no answers!,"Season 1 on the whole was good, the first few episodes were great but the next few were very boring and I nearly didn't bother finishing, it however did pick up and the last few episodes were great, however the finale was incredibly disappointing leaving you with absolute no answers! I understand the need to have a cliff hanger to tie you into watching next season but this was infuriating, no answers, no idea where the show is going, doubt I'll bother with next season."
"Epic nostalgia, brilliant cast and wicked story!","Brilliant writing, acting, directing and the soundtrack is perfection. This show had me hooked from the first few minutes until the last episode. Point deducted for the gross animal stuff but that's only because I get bummed out by it not because it doesn't marry with the plot!"
Finally a unique story not done before.,"I hadn't heard anything about the show before I watched it because it comes on after Dexter True Blood. Immediately I was hooked after episode 1. The season was a slow burn but still had the ability to keep you interested. Episode 9 was the best & gave the most answers to season-long mysteries but the the finale (Episode 10) was the worst. So underwhelmed with the finale. I felt no emotions from a character death in the finale because of the manner in which the death occurred & the less talented youngsters of the cast reactions to the death (a couple of the young ones are really talented tho)
Juliette Lewis is NEXT level talent! She had a scene in a motel room and.....wow, just wow!!Christina Ricci is another top talent & her hilarious yet creepy twisted character is the craziest but the most fun to watch.The finale to me was my one gripe with this show! I love it but did not care for the finale. It was predictable, underwhelming and at most maybe answered 2 out of many WTF mysteries of the show & for such a slow burn of a season, that kinda soured it for me in a way. The cliffhanger was so mild & half of it I had already predicted but overall the finale lacked any shock or satisfying answers to really be excited about Season 2 or about having to wait for a year for another season. I don't think that is a great way to maintain momentum in between long waits in between seasons for a show that only gives us 10 episodes that finishes a season with way more unanswered questions than it gives us excitement to eagerly await another season.Other than the last episode, I really enjoyed this show. The throwback music, the excellent adult cast and their younger selves and how trauma can lead to complete lunacy that tows the line between where the mind goes vs supernatural elements but never actually crosses the line to supernatural, very well done storytelling, aside from the absurd finale.If I had known, I would of waited until the series ended so I could binge watch the series because I had more excitement from week to week between episodes than I have now, after that finale for season 2."
Interesting enough to keep going,"This show had an intriguing concept but I find there's too much going on at times making it hard to follow or believable. It's rated too high imo, I'd give it a 7 just based on it being fairly unique. That being said I did like it overall and it's certainly worth the watch if you like the premise."
Starts off really well. Doesn't come close to potential.,"The show starts off with a gripping scene and continues for most of the first season. As season 2 rolls in, suspense begins to wane.... Around episode 5 I'm questioning why I'm still watching.Episode 7 has just killed it for me. No idea why any producer would take such a great concept and make it this ridiculous.As Misty, easily one of the best characters in the show, begins her journey in the sensory deprivation tank, the evidence is shown that the writers have given up and are now just churning out content.It feels like a mix of Lost and Walking Dead. Starts out great, burns out into a directionless annoyance."
"Inventine, original and consitently engaging","I watch a lot of drama's and I have been so surprised by how much I have enjoyed this on so many levels. It's totally original, I am surprised at every turn and it is full of different emotions. It is so well executed.I love Drama's with multiple plots running through them, rather than slow/slice of life/ single character led drama's and so this really delivers. There are so many characters, and each is going through something different, and I found myself thinking about every episode between viewings, which for me is a sign that it's really grabbed my attention.I agree with reviews that it isn't hugely scary, but I don't at all think that's a problem, for me it's a perk. It's incredibly tense, and at times scary, but it's not a cliche horror movie. Its very clever with the fear and emotional whirlwind it takes you on. I also agree with the reviews that say it gets better. There's a feeling in ep 1 that it may go down too much of a cheesy high-school route, but there is so much coming beyond that. There is only 1 plot flaw in series 2 that I felt was weak. Beyond that I'm amazed at how much solid writing and characterisation they pack into every episode and the casting is brilliant. Loved it!"
Psyc or Supernatural? (SPOILERS),"There are many unanswered questions which I can only assume will be answered in the next season. There were indications that the behaviour was psychological but also strong hints at something supernatural. It is deliberately ambiguous. For example, lootie is prophecising many things that end up becoming true however it appears she is also off her meds. Are these predictions simply coincidences and she is just psychotic? Her remarks about it 'being inside of you'; are they the ramblings of a teenager experiencing trauma? We know trauma does strange things to the mind. The only example of 'it being inside you' is when the girls try to kill Travis. However, they were on shrooms in what remains a high stress environment and all it takes is one crazy person (ie lootie) to start of an episode of mass psychosis. This is not unheard of. People are susceptible to any ideas when on shrooms and have done things that they wouldn't dream of doing while sober. Lootie was speaking in French with a strange voice however it is stated that she takes French in school. It was then told that she was bad at French, however as a French speaker she was not exactly speaking long complex sentences.Bottomline: young minds in a high stress environment can lead to a shared experience of trauma that can manifest in different ways. I believe that mass psychosis is a manifestation of this and thr supernatural elements are a red herring.Also, why did nobody come when the plane went down? The black boxes last known location was exactly where the crash was as we know it was destroyed after the crash by one of the characters."
Not what I expected at all but ended up LOVING it!,I had watched the trailer to this show a few times and it seemed decent and I ended up forgetting about it and I had started watching Mayor Of Kingstown through Amazon Prime and when I finished that shows first season this was another recommendation from Prime. So I re-watched the trailer and decided to give the show a shot and I am so glad that I did! I was so bummed when I realized I had finished the season and now have to wait for the newest one to come out. I think I have re-watched this show at least 3 times so far.
Strong start but limps across the goal line,"One of the strongest pilots I've ever watched, truly, but by the end you just want it to be over. Too many weird twists with no payoff and the last episode is more of a yawn than a hook to come back for season 2. Strong performances all around but just too weird and all over the place to stay engaged."
Only partly what you think it!,"Much like the plane in the movie, wherever you think this show is going to take you, it won't. The acting and pacing are phenomenal. The setting draws you in as much as the dialogue and suspense. Oh and the best part, I found a new actress to crush on.... Christina Ricci. All the main characters do a great job but Ms. Ricci's role stole the show for me. I've always thought she was gorgeous, and now she's expanded her range as far as my experience with her goes.Too many required characters for these reviews so this section is just to burn up the raining digits.... 30 more to go, 15 more and....done."
Interesting show that eats itself live,"The show starts off terrifically, with an horrific plane crash and an increasing sense of desperation among the survivors. It feels like what the best of tv can offer: a character-driven show, and the characters who are presented to the viewers feel real, convincing, and are beautifully portrayed. But as the series progresses it starts to rely on plot, and slowly the characters melt away into mechanical devices to let the plot unfold. Also, the show begins to become way too tedious, overwrought, even, by the last episode, silly. Maybe the second season will return the series back to a character driven drama, but given the almost ridiculous ending, it might be too late to save this show.One other note: the actresses playing the young girls are much better than the veterans playing the girls as adults. Maybe the younger roles are easier but wow, the young cast makes the veteran cast look like newbies on the scene. Especially poor is Christina Ricci and the usually very reliable Juliette Lewis, whose performance is like something out of Grand Guignol. There's a reason that style is no longer in fashion. It's way too over the top."
Addicting,"I'm on episode three and so far I like it very much. One of my favorite things about it is it gives a large group of some of our best actresses, who have spent their entire work lives competing with each other for the same slim supply of roles, a chance to work together and create a terrific ensemble team. The storyline can get a bit convoluted at times, but that's what the rewind button is for."
Don't bother,Only a few episodes in and I'm ready to give up. The only good acting is done by Melanie Lynskey and Sophie Nellisse. It's also the only casting that makes sense. Think of it as a Euphoria/True Detective/Lord of the Flies mashup. Waste of time.
"Good idea, bad acting and bad plot","Honestly I think the idea is very good and if actual good directors and actors were involved in the development of this show, I believe something big would've came out of it. It is very sad to see so many good reviews and that it actually ends up extended to more seasons. I do recommend however that you wait before actually rating the show until you at least get into the second season. The acting of most of the actresses is below average and there are so many holes in the plot that a lot of things never make sense as if a 10 year old directed it. Needs better actors and better directors in my opinion, not just make the show about this nonsense and that nonsense."
I binged this in a day and a half!,"The acting is superb! A couple of the characters were definitely glorified extras. But I felt like everyone else, especially the main few, we're VERY believable and consistent. Christina Ricci might be at her absolute best here IMO. People can whine about boring subplots but you have to try and put yourself in these TEENS shoes. I feel like the side stories showed us why somewhat irrational decisions were made. The soundtrack was nostalgic for me, and the scenery was amazing.If I was going to nitpick, I would say that there were times I was more interested to find out about the past than the present at times.SPOILERS AHEADI would also say that for the first few episodes I was thinking they should just head in any direction to try and find their way out of the forest. Maybe they could've chosen a more secluded location, or had more animal attacks to explain why they had to stay put. I would've made the impending winter a more present threat as well. Previous reviews talk about them being clean.. they literally show a scene where they're washing their clothes. I also think they could've done better than having Misty destroy the plane's radio. One thing that could've made things more believable, the whole ""chasing down and almost slitting Travis's throat"" scene could've been a ""shared dream"" amongst the girls on their mushroom trip. That could've added more to the underlying ""supernatural"" mystery. I also would've not included the kidnapping at the very end.. Instead as the screen goes black we hear a loud bang that sounds like a gunshot, but in season two we see that it was actually the cultish figures kicking the door down..Overall I have to say I'm definitely looking forward to season 2. The acting, music, and ambience are amazing. I'm very curious to see where they go with the underlying mystery. 8/10."
It was an okay show but I expected more,"I loved how it starts but i felt like it was slow at times , it didn't keep my attention at most times but otherwise.i did enjoy watching it but that finale left me with more questions than answers during the season finale, I'm definitely going to watch season 2 to see how it goes after that cliffhanger towards the end, the actors did a great job though even though it was off at times...... I recommend yellowjackets for anyone who are into these kind of shows , the characters were annoying sometimes in the present and past. I felt like that I was yelling at my screen a lot while watching the show. Spoliers I was shocked on how Jackie died even though she was annoying at most times but I do feel bad for her and her family though... I was shocked when Lottie and Misty , Vanessa were on their knees at the end but I hope that season 2 will be bigger ......"
A slow burner that stands on its own,"Yellowjackets is a series that delivers good entertainment. I read that it is compared to the series Lost and the novel Lord of the Flies, but I think Yellowjackets stands on its own.It is still probably not for everyone. The first season requires patience for those of us who follow. The action also alternates between the present and the past, and at the beginning I had a little trouble telling the girls apart when the series switched between now and then. But eventually it worked out.If you have patience then you will benefit from watching the series. It is surprising, exciting, cool and quite different from the other series in terms of content. These ladies I wouldn't have unfriended LOL. I also think it is unpredictable and gives surprises along the way.Several people here are negative about the end of season one, and think it is weak. But it is clear to me that there is no end at all, only a transition of the new season that starts now. Nothing has been concluded, everything is set up so that we can see the development further.I still hope that the pace of the series will pick up somewhat, and that we as viewers along the way will be able to satisfy our curiosity to a greater extent than in season 1. Here there are many questions and events we are curious about...."
I can see where this is going,"I did not give this a rating yet because it is too soon after just watching the pilot. I am not sure I will even continue on as after viewing this so far one can see where it is leading. It seems that Hollywood is caught in a loop once again where most of the series are one type...this time it is horror...we have had horror/thrillers thrown at us lately with not much choice of anything else.I do see a major error right off in that it is difficult to believe that a group of girls would turn into a tribe/cult after such a short period of time. It is just not believable this would happen after only a year and a half...possibly if stuck in the wilderness for many, many years but not such a short period.There is also a huge geographical error. The setting where the girl's plane crashed has been described as Ontario. It is not Ontario. You can go as far up into Ontario as you like and you will not see a mountain range like that. Those are the Rocky Mountains in British Columbia which is almost 3,000 miles away. Also, while the girls are loading into the plane there is a voice coming over a speaker talking about weather and the Rockies... when Shauna looks out the window she is looking at the Rockies. They are not in Ontario, if the writers want us to believe they are they had better find different wilderness shots."
Best Shooters?,The girls should at least learn how to hold a lever action rifle if they're going to be supposedly the best shot. It's obvious they've never shot one in their life which pretty much destroyed the credibility.
Good yet unrealistic,"So, I have to agree with many others by mentioning that it started off much better than it ended. For starters, the fact that everyone slept on the ground one night with not even a chill and the next night Jackie just froze to death? Or the fact that a leg amputation with no antibiotics or surgery just magically healed properly with no infection? Or the stranded plane just coincidently had no big trees in front of it for it to gain speed. And what exactly caught on fire, the teddy bear? And why the hell is Tai eating dirt when she sleep walks? Does she even remember killing the dog? The whole spirit or wtv it's suppose to be was overly vague, like I understand suspense but this was just annoying. How about Shauna's husband that does not seem bothered one bit by her journals or that she murdered someone and disposed of a body. Misty, obviously is a total sociopath and I still don't get why the coach or everyone else take it so lightly that she keeps poisoning people. Or the reporter that can clearly see that she's crazy, injecting chocolates with drugs that could kill her father and is still stupid enough to smoke cigarettes or even drive a car that were in the hands of the nut job keeping her hostage.Anyhow, all in all it's got me hooked, interesting story, I just hope it won't drag along for too many seasons like LOST."
Wow So thrilling,"Just finished season 1 and i cant wait for the next, hope it doesnt take so long. Now i believe they are gona show us how friends started eating each other the friends who love each others sooooooo much, its gona be bloodyBetter make it better than seaoson season 1 and please dont make slow episodes cause slow episodes make a person second guess the showJust finished season 1 and i cant wait for the next, hope it doesnt take so long. Now i believe they are gona show us how friends started eating each other the friends who love each others sooooooo much, its gona be bloodyBetter make it better than seaoson season 1 and please dont make slow episodes cause slow episodes make a person second guess the show."
Too much draggy,"Just finished watching all 10 episodes. I was hooked and booked till episode 4 after that so many unwanted conversations, unwanted scenes makes it lengthy. In start of the episode 1 you will see something like Wrong Turn and you will watch rest of the episodes to know about that scene but after episode 10 also you will not get that what you were waiting for and you will have so many question unanswered. So watch it if you have plenty of good time and you have nothing to do."
Lord of the Flies with teenage girls,"I am loving this show so far. It's violent, it's so well cast, it's got mystery and secrets. I'm SO excited to see how this all plays out. Best new show on TV right now."
